article_nr,title,description,brand,kba,part_state,quantity,vat,price,price_b2b,img_1,img_2,img_3,img_4,img_5,img_6
TODO,"AUDI A6 4F 05-11, EKSPANTIONSBEHOLDER",,AUDI,"0588848,0588849,0588882,0588883,0588ABB,0588ABC,0588ABS,0588ABT",B,1,TODO,350,350,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/075/5/136570,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/075/5/125451,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/075/5/91282,,,
TODO,"AUDI A6 4F 05-11, ABS PUMPE","PUMPE NR 0265234111
4F0614517A",AUDI,"0588848,0588849,0588882,0588883,0588ABB,0588ABC,0588ABS,0588ABT",B,1,TODO,2500,2500,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/075/9/155651,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/075/9/136572,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/075/9/125453,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/075/9/91385,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/075/9/91284,
TODO,"AUDI A6 4F 05-11, INJECTION ELBOKS",,AUDI,"0588848,0588849,0588882,0588883,0588ABB,0588ABC,0588ABS,0588ABT",B,1,TODO,1200,1200,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/076/0/136573,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/076/0/125454,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/076/0/91285,,,
TODO,"AUDI A6 4F 05-11, RELÆ DIVERSE",,AUDI,"0588848,0588849,0588882,0588883,0588ABB,0588ABC,0588ABS,0588ABT",B,1,TODO,350,350,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/076/3/136575,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/076/3/125456,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/076/3/91287,,,
TODO,"AUDI A6 4F 05-11, RELÆ DIVERSE",,AUDI,"0588848,0588849,0588882,0588883,0588ABB,0588ABC,0588ABS,0588ABT",B,1,TODO,350,350,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/076/9/136578,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/076/9/125459,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/076/9/91288,,,
TODO,"AUDI A6 4F 05-11, AIRBAG",,AUDI,"0588848,0588849,0588882,0588883,0588ABB,0588ABC,0588ABS,0588ABT",B,1,TODO,600,600,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/077/2/136579,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/077/2/125460,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/077/2/91289,,,
TODO,"AUDI A6 4F 05-11, VISKERMOTOR",,AUDI,"0588848,0588849,0588882,0588883,0588ABB,0588ABC,0588ABS,0588ABT",B,1,TODO,350,350,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/077/4/136580,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/077/4/125461,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/077/4/91290,,,
TODO,"AUDI A6 4F 05-11, VISKERTRÆK",,AUDI,"0588848,0588849,0588882,0588883,0588ABB,0588ABC,0588ABS,0588ABT",B,1,TODO,350,350,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/077/6/136582,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/077/6/125463,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/077/6/91292,,,
TODO,"AUDI A6 4F 05-11, BENZIN/BRÆNDSTOF PUMPE EL",,AUDI,"0588848,0588849,0588882,0588883,0588ABB,0588ABC,0588ABS,0588ABT",B,1,TODO,500,500,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/078/4/155655,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/078/4/136590,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/078/4/125471,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/078/4/91388,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/078/4/91300,
TODO,"AUDI A6 4F 05-11, LYGTEVISKERMOTOR",,AUDI,"0588848,0588849,0588882,0588883,0588ABB,0588ABC,0588ABS,0588ABT",B,1,TODO,350,350,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/078/9/136593,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/078/9/125474,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/078/9/87766,,,
